age,income,balance,city,has_credit_card,target
70,54879,-521,A,1,1
41,45536,2465,C,1,1
43,79797,2714,A,0,0
42,17982,2884,A,0,1
77,33430,-1978,C,0,1
77,47935,4050,C,1,1
77,17136,893,B,0,1
62,46483,3030,A,1,1
58,83229,3112,A,1,1
46,50418,685,A,1,1
32,54614,2991,C,0,0
62,24797,1422,A,0,1
18,37673,-1107,C,0,1
42,42496,3752,A,0,1
24,43646,837,C,1,0
26,75633,718,C,0,1
41,61154,1395,A,1,1
18,27771,2408,A,0,0
61,54930,1914,C,1,1
25,59964,2822,B,1,0
41,72803,-9,B,1,1
28,81611,886,B,1,1
68,29698,1826,A,0,1
34,33783,4847,C,1,1
25,24848,1829,A,1,0
52,45320,3628,C,1,0
52,59327,2058,A,1,1
50,69747,1275,B,1,1
76,48481,1630,A,1,0
22,43603,1747,A,1,1
59,53035,2905,A,1,1
56,33297,4062,B,0,1
75,91791,2540,B,1,1
58,17847,3781,C,1,0
45,53695,553,A,1,1
24,90472,1378,B,1,1
26,50136,914,B,0,1
25,46199,2472,A,1,1
29,42851,1462,A,1,0
51,46392,3095,A,1,1
50,77457,603,A,0,0
65,5763,2065,A,1,0
72,80669,3030,B,1,0
40,21521,-1098,A,1,0
79,44667,5182,B,1,1
41,41415,1575,C,1,0
54,61771,-1038,B,1,1
52,18038,2237,B,1,1
61,59243,2050,A,0,1
57,90486,1877,C,0,1
39,22737,3487,A,0,0
44,53794,3121,B,1,1
52,36760,2447,C,1,1
18,58518,2675,B,1,1
52,50383,1843,B,1,1
54,37170,4663,A,1,0
64,59757,-219,A,1,1
31,86087,2209,B,0,1
20,46182,2098,A,1,1
18,64395,3220,B,0,1
22,24135,734,A,0,0
43,30871,-616,C,0,1
72,59448,2235,A,0,1
31,79682,2422,B,0,1
56,57112,4234,B,1,1
44,43739,94,A,0,0
26,49986,3732,A,1,1
32,24992,5551,A,0,0
32,62090,1433,A,0,1
43,67647,64,A,1,1
59,40958,1390,A,1,0
77,40599,2021,B,1,1
30,55318,2846,A,1,1
68,41266,1113,C,1,1
49,48677,4333,B,1,0
56,91994,328,A,1,1
66,45059,-609,A,1,1
69,42833,3660,C,0,0
78,37049,-1412,A,1,1
49,64884,1694,B,0,1
21,46376,6677,B,1,0
47,37013,1982,A,1,1
54,76426,319,C,0,1
40,78392,1914,A,0,1
56,37992,1924,A,0,1
62,12669,2241,C,1,0
32,70150,2993,B,0,0
60,36307,441,C,0,1
46,65813,4531,B,1,1
53,10598,2368,B,1,0
30,67852,3090,C,0,0
49,25777,1058,A,0,1
24,64615,3930,B,0,0
76,50285,1614,B,0,0
68,30921,2416,A,0,1
39,41859,600,B,1,1
45,63726,505,A,1,1
19,52118,3032,B,1,1
59,61688,1335,B,1,1
62,89529,719,C,0,1
79,18715,1035,A,0,1
74,82344,3048,B,1,1
70,52087,1056,A,0,1
23,32024,1824,B,1,1
45,23394,2023,B,1,0
45,46218,-876,B,1,1
61,68433,-207,C,0,0
61,47449,2504,C,0,1
37,80223,894,A,1,1
47,20976,3585,A,1,1
79,49758,3450,B,0,0
28,24952,3079,A,1,1
75,57273,4730,A,0,1
72,67738,1875,B,0,0
45,41585,2973,A,1,1
42,-2084,1123,A,1,1
56,53979,5679,C,1,0
79,58735,4975,A,1,1
50,58086,2018,A,0,1
18,74716,2580,A,1,0
74,28579,4039,C,0,0
44,63604,1779,C,1,1
79,73850,1015,B,1,1
74,14428,3311,A,0,0
69,56393,2118,C,1,1
30,39916,2274,B,1,1
58,48370,749,C,1,1
20,56954,-577,B,1,1
56,40255,2354,A,0,1
23,36486,3357,A,0,1
25,50683,1661,A,0,0
44,28255,4155,A,0,0
26,28283,944,B,1,1
79,63587,418,C,1,1
54,27024,1899,B,1,1
50,63326,1876,A,1,1
68,59252,3155,A,1,1
59,15484,838,A,0,0
61,36449,4052,A,1,1
41,73882,4950,A,1,1
32,30377,1941,B,1,0
76,40712,3875,A,0,1
71,59241,415,C,1,1
49,65668,3613,A,0,1
49,44969,3571,C,1,1
41,38050,3295,B,1,0
58,78447,1977,A,0,1
69,84778,-2431,B,1,1
66,69577,1037,B,1,1
79,51706,1061,B,1,1
66,33835,533,B,1,1
75,33391,2183,A,0,1
69,60450,1372,B,1,1
29,58368,763,C,1,1
79,78032,412,A,0,1
56,63009,927,A,1,1
19,19938,3682,C,1,0
20,71039,1008,A,0,1
66,30039,1228,B,0,1
54,42321,1315,B,0,1
66,55004,2508,B,1,1
73,89913,2684,A,1,1
34,112198,-2567,A,0,1
76,62134,3532,A,1,1
66,46336,4155,B,0,0
19,60690,425,B,1,1
19,67753,542,B,1,1
45,43587,1325,B,1,1
71,85904,866,A,0,1
40,54601,2336,A,1,1
54,59955,-920,C,1,1
49,63318,323,A,1,1
50,58432,4309,A,1,1
18,66779,608,A,0,0
36,37655,3865,A,1,0
79,38834,2533,A,1,1
19,27997,-714,C,1,0
70,58790,2953,C,1,1
61,65579,1823,C,1,1
43,59155,1317,C,0,0
49,83490,2367,C,0,1
23,49888,2712,B,0,0
49,63375,3061,A,0,1
72,28166,3767,B,1,1
21,42258,2612,A,1,1
72,63911,-63,A,1,1
28,66982,1290,A,1,1
73,44121,6415,B,1,1
76,48568,3087,A,0,1
34,19643,5554,A,0,0
55,42859,4093,A,0,0
41,67808,2363,C,1,1
22,61504,2452,B,0,0
69,60013,1945,C,0,1
51,50995,-607,A,1,1
23,50141,2027,A,1,1
39,36794,3816,B,1,1
28,63977,1101,A,1,1
65,58419,2618,B,1,1
33,59840,3277,B,1,1
50,39479,635,B,1,0
26,6933,1323,C,1,1
77,71943,473,A,0,1
76,40423,767,A,0,1
23,32744,69,B,0,0
33,63870,649,A,1,1
46,42160,4129,A,1,0
20,71199,627,A,0,1
37,62340,2190,A,0,1
77,63671,1246,A,1,1
76,22681,3768,A,1,1
53,74239,3967,B,1,0
36,55225,3296,B,1,0
43,42614,2459,B,1,0
20,52868,1653,B,1,1
36,14475,212,A,0,0
37,58173,4915,A,0,0
49,29413,860,A,1,1
24,22947,2995,C,1,0
69,19553,3589,B,1,1
58,72254,1167,A,1,1
50,37415,3557,A,1,1
57,80675,3146,C,0,1
56,39284,4592,B,1,0
35,15853,1296,C,1,1
57,27670,71,A,0,1
18,74716,1242,A,1,1
28,46882,2313,B,0,0
45,39034,2087,B,0,1
74,53200,1410,B,1,1
42,60036,-864,B,1,1
67,72348,2706,B,0,1
40,78970,4959,B,1,1
48,42805,2696,A,1,1
47,23479,2914,A,1,1
59,41731,2859,C,0,1
52,55206,2596,A,0,1
24,30725,3397,B,0,1
77,30857,2593,B,1,1
33,56876,1531,C,1,1
43,49027,806,A,1,1
65,50656,1627,A,1,1
74,34830,2471,C,1,1
69,45392,1526,C,1,1
77,31515,2472,B,1,1
66,67804,2659,A,0,1
19,70705,3250,A,0,1
18,13076,3924,B,1,0
65,31410,2117,C,1,1
79,20069,38,C,1,1
29,37000,1482,A,1,1
22,48331,2066,A,1,1
54,21007,-754,A,1,1
49,31563,4083,C,1,1
76,29921,2214,B,1,1
72,54145,2572,A,0,1
26,51387,4048,A,0,0
58,35565,1055,B,1,0
52,53536,2861,A,0,0
36,39066,1835,C,1,1
65,44567,1724,B,0,1
33,83469,842,A,0,1
20,76809,4498,A,0,1
37,24008,1437,C,0,1
41,66595,3049,A,0,1
71,66228,-813,A,0,1
73,27035,3770,C,1,0
50,66376,3578,C,0,0
41,80759,2146,C,0,1
69,27549,1660,A,0,0
28,31650,2600,A,1,1
66,70353,5433,A,1,1
25,55430,-645,A,1,1
53,61030,3173,B,0,1
55,56812,633,A,0,0
57,57814,1970,B,1,1
37,23471,1628,A,1,0
79,70946,1358,A,0,0
52,73392,1984,C,1,1
65,45412,299,A,0,1
79,49130,3544,A,0,1
42,19378,-691,A,1,1
52,60285,2810,A,1,1
42,61441,1510,A,0,0
46,48756,244,A,0,1
35,72487,2304,B,1,0
63,43318,-335,C,1,1
35,61292,2060,B,1,1
19,29607,-134,A,1,1
71,49529,2692,B,1,1
52,46513,613,A,0,1
33,54506,1324,B,0,1
78,42609,2441,B,1,1
58,47371,841,A,1,1
53,66521,1913,C,0,1
50,41265,-271,C,1,1
21,17868,2946,C,0,0
50,84992,4647,A,0,1
31,77629,6188,B,0,1
38,24155,2137,C,1,0
65,63794,3182,A,0,0
37,39941,-671,C,0,1
73,55270,4254,A,1,1
25,55884,3164,A,1,1
24,45312,1274,B,1,1
20,34325,3856,B,0,0
34,36189,1618,B,1,1
50,31676,1313,C,1,1
65,33364,2713,A,0,1
29,48656,405,A,1,1
76,35685,3532,C,1,1
68,63641,416,A,0,1
39,79745,425,B,1,1
72,38399,635,B,1,0
39,54788,3139,A,1,1
63,59994,1075,A,1,1
47,59440,-22,B,0,1
55,51519,1091,C,0,1
55,64854,1952,B,1,1
62,59645,229,B,1,1
68,25247,272,A,1,1
71,67383,5167,A,1,0
25,67746,709,A,0,1
44,34734,1515,A,1,0
44,50759,1449,A,1,1
51,63667,1368,A,1,1
38,45814,2932,A,1,1
47,71460,3422,A,1,1
50,97277,1541,A,1,1
45,34280,145,B,1,1
64,22379,3912,B,1,1
50,56076,1857,A,1,1
22,64431,4595,C,0,1
77,45383,-1368,A,1,1
78,79065,2293,C,1,1
65,23228,4878,A,0,1
36,63858,1470,C,1,0
21,37883,1662,A,0,1
52,84388,2443,B,1,1
66,89850,1162,A,1,1
34,34667,1532,B,1,0
61,39009,1493,A,1,1
45,67192,1059,A,0,1
47,42257,3843,B,1,1
46,49092,2692,A,0,0
63,50508,2376,C,0,1
70,11607,3213,A,1,1
23,49723,1603,A,1,1
52,36205,839,B,0,1
77,40138,1096,A,1,1
58,78873,2003,A,1,1
54,24870,411,B,1,1
41,66264,1250,B,1,1
46,44421,1226,C,1,1
66,44405,5187,A,1,1
63,65807,-2161,B,0,1
70,56801,1731,A,1,1
48,61412,4589,A,1,0
52,69364,2183,B,0,1
77,43374,3130,A,0,1
50,37755,2150,A,0,0
69,28297,999,A,1,1
78,33492,-1363,B,1,1
38,108982,2308,C,1,1
49,74894,837,B,1,1
40,22979,799,A,1,1
50,23551,1252,B,1,1
20,59637,4617,B,0,1
35,60945,5607,A,0,0
42,60978,2326,A,1,0
59,44901,1303,A,1,1
48,47491,234,A,1,0
71,56558,2703,C,1,1
75,51718,4674,A,0,0
20,5614,1629,A,1,1
57,45404,-1568,C,1,1
63,32972,3005,C,0,1
41,53504,3478,B,1,0
67,109705,-379,A,1,1
49,57350,2265,A,1,1
64,43729,2677,A,1,1
39,68436,1890,A,0,0
40,59654,814,A,0,1
19,58402,3524,B,1,1
44,62137,1395,A,1,1
59,91131,-228,A,0,1
19,27382,-1074,A,0,1
43,59473,3891,B,1,1
34,31472,2925,B,1,0
57,61110,2132,B,1,1
50,31626,1340,A,0,1
26,41653,1207,A,0,1
60,44098,386,A,0,0
71,69516,1353,A,1,1
65,68369,-1180,C,0,1
56,25086,896,C,1,0
46,51099,1534,B,1,1
59,35808,2915,C,0,0
72,24830,1940,B,1,1
43,45660,3192,A,1,1
52,43830,4024,C,1,1
67,98534,3587,A,1,1
42,58659,2706,B,0,1
41,22448,2018,A,0,1
30,38705,529,A,1,0
77,70428,3110,B,1,1
75,91769,4520,A,0,0
24,18280,2513,A,1,1
74,12402,4876,A,1,1
53,87419,-288,A,0,1
62,57792,269,C,1,1
37,32634,3283,B,0,0
18,60693,2396,A,1,1
25,-2715,3971,A,1,0
63,50068,1977,C,0,1
33,56556,698,A,1,1
31,68485,1680,A,1,1
29,29722,-299,A,1,1
68,51714,307,C,0,1
40,31492,3459,A,1,1
32,55108,3309,A,1,0
45,32093,2545,A,1,0
51,41838,-582,A,1,1
19,30084,1462,B,0,0
49,63023,163,A,0,1
40,67169,3765,A,1,1
39,45308,1124,A,0,1
68,50765,371,A,1,0
42,21028,2045,C,1,1
75,44006,1040,C,1,1
79,48996,4226,A,1,0
78,102416,898,A,1,1
39,27761,-99,A,1,0
75,79284,-1229,B,0,1
75,69937,1954,B,0,1
39,55613,1157,A,0,0
66,85172,-143,B,1,1
69,57442,3784,B,1,1
59,57783,3001,C,0,1
23,48938,1958,A,1,0
32,74471,4046,A,0,1
71,71929,2994,A,1,1
60,37486,766,C,0,1
77,23615,441,B,1,1
54,45940,3227,B,1,1
50,33999,2595,A,1,1
25,48730,2255,A,0,1
70,74749,730,A,1,1
77,40854,2912,B,0,0
61,49144,867,A,1,1
61,51160,1847,A,1,1
22,66969,4170,B,1,1
56,5062,1009,A,1,1
21,37866,-359,A,1,0
23,54226,421,A,1,1
62,74002,3491,C,0,1
49,40162,2382,B,1,1
69,12469,1807,C,0,0
47,62394,1236,A,0,1
64,37293,2728,C,1,1
52,26207,726,C,1,1
72,37513,2458,B,0,0
57,46309,903,C,1,1
69,37905,654,A,0,0
33,5889,1044,A,1,1
30,67941,1437,A,1,1
67,75498,1927,B,1,1
77,63030,2353,B,1,1
59,27246,-3533,B,0,1
47,45970,789,A,1,0
36,49870,1413,A,0,1
34,61976,4258,A,0,1
73,63367,380,B,1,1
36,35317,2244,A,0,1
45,51640,4243,C,1,0
75,59146,31,A,1,1
72,79116,2591,A,0,1
43,64090,797,C,1,1
54,65781,1243,A,1,1
43,51677,795,A,1,0
70,78209,902,A,1,1
79,58195,6083,A,0,1
40,32778,3267,C,1,1
26,78067,3653,B,1,0
29,63958,2738,A,1,1
70,41139,-409,B,0,1
18,40410,2592,A,0,1
75,55932,3609,B,1,1
75,59264,720,C,1,1
18,53946,3448,C,1,0
64,56226,3057,A,1,0
51,83999,4778,A,1,1
49,71431,1373,A,1,1
79,53813,354,B,0,0
71,68826,1458,B,1,1
65,29350,4153,A,0,0
42,57959,-743,C,0,1
57,86186,-1103,A,1,1
62,45639,2134,A,0,1
70,33047,1336,A,1,1
18,36958,2012,A,0,0
33,28207,3418,A,0,0
78,34305,1171,B,1,1
56,42590,-810,A,1,1
22,21889,5067,A,1,1
39,50312,504,B,1,1
46,68046,411,A,0,1
72,31845,3656,B,1,1
20,80386,1423,A,0,1
29,60216,1905,B,1,1
43,70612,2724,C,1,1
33,36843,3625,A,1,0
68,67091,1500,B,1,1
54,28161,4280,C,0,0
39,67805,-1204,B,1,1
74,53437,3140,A,0,1
46,61065,741,A,0,0
31,26488,4058,B,1,0
45,32099,2213,C,0,0
22,61945,991,A,0,1
64,31033,2994,A,1,1
66,59264,3340,A,1,1
47,22657,2963,A,0,1
63,66963,455,A,1,1
79,25350,1274,A,1,1
69,61046,1994,A,1,1
22,62513,1938,A,1,1
29,36065,3125,C,1,0
33,61641,-1022,A,1,1
43,55209,2501,A,1,1
43,39223,1565,A,0,1
65,29829,742,C,1,1
38,10747,886,B,1,1
56,56993,1678,B,1,1
53,18704,-3402,A,0,1
50,51907,948,C,1,0
79,44731,686,A,1,1
47,63583,2799,A,1,1
54,43959,792,B,1,1
40,43411,1677,C,1,0
75,64637,4313,B,0,1
27,56701,3492,C,1,1
71,56323,3353,C,1,0
22,59385,1250,A,0,1
53,19289,2815,A,0,1
51,65136,1649,A,1,1
69,62249,1706,C,1,1
48,29666,2615,A,1,1
27,45118,1105,C,0,1
75,49214,4240,A,0,1
36,47310,1760,A,0,0
75,56677,2928,A,1,1
49,78627,4183,A,1,1
18,71635,3547,C,1,1
73,23756,-113,A,1,1
22,62441,2667,A,0,0
62,76579,3276,A,0,1
21,57736,3338,A,0,1
33,71820,330,A,0,1
41,90245,1014,A,0,1
33,70474,3492,C,1,1
72,54986,857,A,1,1
19,70902,1550,A,1,1
66,52898,4364,B,1,0
45,50478,1928,A,1,0
49,42972,910,A,1,1
44,81268,684,B,0,0
37,33631,2499,A,1,0
41,80647,0,B,0,0
29,59997,1629,A,0,1
67,22014,2500,B,0,1
52,57353,3949,C,1,0
77,7999,3001,A,1,1
50,62510,929,A,1,1
50,67705,3768,A,1,1
78,38153,1551,A,1,1
68,52471,146,C,1,1
60,89083,1742,B,1,1
54,39885,4157,A,1,1
29,28822,2248,B,0,0
20,79633,2019,A,0,0
18,89252,4456,B,1,0
50,50074,-147,B,0,0
57,70229,72,B,1,1
27,76830,-424,A,1,1
60,35150,2559,B,1,1
61,40294,2250,A,0,0
46,74617,4314,B,1,1
30,83700,2365,A,1,1
29,61258,1394,A,1,1
48,32404,2003,B,1,0
63,89741,2177,C,1,1
19,39381,-508,A,1,1
78,43297,6065,C,0,1
68,56847,2780,B,1,1
67,81083,2315,B,0,1
52,67080,2923,C,0,0
40,58297,3064,A,0,1
34,59266,1789,C,1,0
43,50870,1053,A,0,0
25,61163,2899,A,0,0
46,-591,2579,B,1,1
43,44068,785,C,1,1
27,54826,4129,C,0,1
43,26980,2440,B,1,0
79,57726,3095,B,1,0
51,45911,4088,A,0,0
68,85110,2033,C,1,1
58,81460,2475,A,1,1
24,40684,3215,B,1,0
21,46983,913,B,1,1
75,48521,2081,B,1,0
70,40967,2188,A,0,1
67,53900,566,C,1,1
62,34834,5476,B,0,0
28,27388,-111,C,1,1
46,62454,53,A,0,1
73,62591,3971,B,1,0
53,33914,3070,B,0,0
42,67907,461,B,1,1
38,37368,2911,C,1,0
78,55063,4202,A,1,1
74,66407,1955,A,1,1
53,49328,5898,A,1,0
27,59095,-586,A,0,1
54,39671,3041,C,0,1
26,46071,3750,A,1,0
41,45883,3337,A,1,1
52,35068,1693,A,0,1
66,46465,1564,B,0,1
52,19028,2666,A,0,1
65,40177,3224,A,1,1
53,44302,2904,A,0,0
35,44876,3560,A,1,1
66,45170,472,C,0,1
56,48765,1658,A,0,1
49,59589,590,B,0,1
41,67490,1421,C,1,1
40,37005,3523,B,1,0
79,25936,2162,C,0,1
49,29159,5910,C,1,1
54,40256,2290,A,0,1
29,42962,2090,B,1,1
66,34600,2159,A,1,1
72,24078,1043,A,0,1
30,40878,1913,C,1,1
40,53629,3692,B,1,1
42,61901,2171,B,0,1
52,38852,810,B,1,1
58,41740,612,A,0,1
47,31466,1325,C,1,0
34,49371,2111,A,0,1
66,33031,3790,A,1,0
79,61463,-11,C,0,1
37,14283,1520,A,0,1
65,42807,2216,B,0,1
42,56022,-751,B,0,1
39,53677,750,A,1,1
30,103861,980,C,0,1
76,56996,806,B,1,1
36,29919,2288,A,0,1
66,48091,1759,A,1,1
53,14475,1167,C,1,1
29,48388,2642,A,1,1
78,33339,4585,C,1,0
58,68308,4459,A,1,1
36,39009,-884,B,1,1
29,47665,2866,C,0,0
26,37289,1733,A,1,1
24,84777,2233,B,1,1
45,43575,1403,B,0,1
31,86651,2176,B,1,1
48,66283,2227,B,0,1
69,59641,1132,B,1,1
36,57375,655,B,1,1
75,57876,1327,C,1,1
64,11447,2351,B,1,1
33,44422,2898,A,1,1
70,66903,3280,C,1,1
22,49022,1259,A,1,0
52,21896,2426,A,0,1
29,48952,3444,A,1,1
42,84082,3748,A,1,1
69,74938,1912,A,0,1
76,48760,1669,A,0,0
38,69029,2287,A,1,0
53,42670,275,B,1,1
70,15923,1710,A,1,0
40,31511,3117,A,0,1
33,81258,2963,A,0,1
74,44520,1595,A,1,0
56,45132,2327,A,0,1
62,44003,763,B,0,0
70,88083,3055,C,0,1
59,82519,1883,C,0,1
75,94376,1586,C,0,0
56,46819,1457,A,0,1
31,55912,1906,A,0,0
48,19667,1328,A,1,1
75,79539,2987,B,0,1
22,26644,1407,A,1,0
52,54336,4389,B,1,1
40,28054,4198,A,1,1
46,38223,663,A,0,1
60,33255,2105,C,1,0
28,37842,1024,B,0,0
35,39218,1510,C,0,1
64,39035,5004,B,1,1
29,66667,1539,C,1,0
26,27903,2540,B,1,0
27,54411,2812,C,1,1
75,74359,499,A,1,1
61,39736,717,B,0,0
34,35642,191,B,0,1
78,45390,671,A,1,0
55,73595,-2275,C,1,1
24,53882,2817,C,0,0
63,39376,5081,A,1,1
30,59678,2222,A,0,0
57,27954,-124,A,1,1
59,63627,1036,C,1,1
26,58172,1312,B,1,1
67,43844,474,A,0,0
44,33228,3290,B,1,1
75,32266,3215,A,1,1
19,60696,267,B,0,1
22,74580,3088,A,0,1
46,37254,4290,A,1,1
54,59168,4854,B,1,1
55,8259,6298,A,0,0
36,38308,647,A,1,1
25,49379,6236,A,1,0
65,31806,1469,A,0,0
62,31270,1111,A,1,1
18,36644,2491,C,0,0
39,55844,1127,C,0,1
69,46253,2599,C,0,1
34,5235,20,C,1,1
24,7586,1642,A,1,1
42,37863,3928,A,0,1
62,59154,1914,A,1,1
21,-4950,2212,C,1,0
53,40005,2713,B,0,1
23,39475,3756,A,1,0
77,77767,-483,A,1,1
48,42300,2877,B,1,1
36,57660,1598,B,1,1
78,52825,2250,C,0,1
61,7389,3590,A,1,1
71,65364,209,C,0,1
56,54308,481,A,1,1
44,60165,-903,B,1,1
27,128525,1176,C,0,1
43,8318,3996,C,1,0
36,84494,1819,A,1,1
56,44251,-10,A,1,1
79,55747,1271,A,0,1
20,49090,-232,A,1,1
62,41515,312,B,1,1
30,38603,2583,C,0,0
67,56590,239,A,0,1
45,19657,3669,A,1,1
79,65012,1893,A,0,1
75,41676,2128,C,0,0
37,27399,1582,C,1,0
45,41000,3159,A,1,1
25,75143,3175,A,1,1
78,39293,2503,B,0,1
58,57169,2847,B,1,1
56,35381,1682,A,1,1
18,65158,2813,C,0,0
20,63710,1493,C,1,0
30,86972,2003,B,1,1
45,46489,1588,B,1,1
79,63373,1314,A,1,1
74,51961,966,B,0,1
77,75917,2702,A,1,1
66,35623,3966,A,1,0
42,64900,3757,A,1,1
73,46106,115,A,1,0
50,48716,3934,A,0,1
55,51835,1523,B,0,1
70,55045,2901,B,0,1
23,47675,641,B,1,1
75,54294,2213,A,0,1
61,81562,2471,A,1,1
62,69709,-227,C,0,1
49,67383,2912,A,1,0
62,40889,4019,C,0,1
78,32215,1738,A,1,1
64,69106,4040,B,1,1
38,67521,1715,A,1,1
33,79453,3274,B,1,1
71,37920,-1328,C,0,1
38,45409,5628,C,0,0
28,17210,4243,C,1,0
77,42151,1573,A,1,1
54,69931,-958,B,0,1
53,40670,2432,A,1,1
52,62810,-166,B,1,1
36,46190,2667,A,0,0
37,56481,2617,C,0,0
74,27046,588,C,1,1
35,51704,3681,A,0,0
64,-9823,3208,A,0,1
58,46262,3464,A,0,0
66,17391,2013,B,0,1
31,74120,-123,A,1,1
32,65548,3467,C,0,1
48,59333,1594,B,0,0
18,80420,-85,B,1,1
70,31022,4028,B,0,0
71,84947,5149,A,0,0
71,68644,1938,C,1,0
20,45269,5239,B,1,0
33,72712,2137,C,1,1
40,27874,1429,B,0,0
74,33510,1054,B,1,1
28,37828,4456,A,1,0
29,39420,830,B,1,0
27,28869,3103,B,0,1
49,74462,1161,B,0,1
33,44823,1310,B,1,1
25,57050,3545,A,1,0
55,38593,1430,C,1,1
29,13588,1393,C,0,0
41,55401,3699,A,0,1
45,11755,4396,C,1,0
70,48627,2967,A,1,0
25,22634,1018,B,0,1
75,89746,1234,A,0,1
45,68227,2120,C,1,1
53,52115,2481,A,1,1
43,75274,518,A,1,1
25,33074,3085,A,1,1
75,60870,2128,A,1,1
77,53996,-574,B,0,1
67,55280,607,A,1,1
45,75447,1244,B,1,1
45,64650,1891,C,1,1
54,55774,4834,C,1,0
58,16902,2357,C,0,0
53,30799,739,A,1,1
44,47546,2331,A,1,1
71,51867,1472,B,1,1
34,27396,2487,A,0,1
26,98234,2871,C,1,1
50,80328,3814,A,1,0
70,62042,1964,C,0,1
37,51441,4458,A,0,0
30,45756,3362,C,1,1
45,30962,939,A,1,0
65,51550,5315,A,0,0
46,55155,2490,B,1,0
30,25165,747,A,1,0
63,56684,4479,B,1,0
52,46895,5117,B,0,0
78,11844,1950,A,1,1
23,32792,1245,C,0,0
35,41728,1741,A,0,1
68,87754,3072,B,0,0
22,61131,3917,B,1,1
64,23290,2856,B,0,0
42,59721,2153,A,0,1
19,19054,4247,A,0,0
27,71654,1531,B,1,1
73,40578,3546,A,1,1
47,48127,1568,A,1,0
67,76516,2647,B,0,1
76,24257,1830,B,0,1
62,22058,1916,A,0,1
22,38328,1434,A,1,1
72,70768,4017,A,0,1
73,19613,901,A,0,0
50,-6643,890,A,1,1
71,40977,5181,A,0,1
18,61035,3467,C,0,1
35,74005,-1578,B,0,0
49,40737,1152,A,0,1
64,41771,-718,A,1,1
66,73078,574,B,1,1
28,12605,-2708,A,0,1
38,42230,1795,B,0,0
43,53808,287,C,1,1
42,58984,2090,B,1,1
39,39804,-438,A,0,1
76,50689,2124,B,1,1
